user_id,signup_date,country,channel_src,device_type,device_id_hash,kyc_score,risk_tier
60,2024-02-10,SG,ads,ios,6429101,0.742,medium
61,2024-02-25,SG,ads,web,6240660,0.63,medium
62,2024-02-14,SG,social,web,4779160,0.871,low
63,2024-01-22,SG,organic,ios,8325149,0.738,low
64,2024-02-28,SG,ads,ios,4208487,0.491,low
65,2024-01-25,VN,organic,android,4086823,0.777,medium
66,2024-01-20,ID,organic,android,6527347,0.812,low
67,2024-02-24,MY,referral,android,6691058,0.993,low
68,2024-01-23,ID,referral,ios,4110648,0.889,low
69,2024-01-05,SG,ads,web,1103880,0.615,medium
70,2024-01-29,ID,organic,ios,7741019,0.964,low
71,2024-02-17,SG,ads,ios,1800143,0.542,medium
72,2024-01-12,SG,social,ios,2135543,0.754,medium
73,2024-01-28,ID,ads,ios,1988853,0.863,low
74,2024-01-08,ID,organic,android,7467323,0.969,low
75,2024-02-11,VN,organic,ios,7768633,1.0,high
76,2024-01-29,SG,organic,android,5599562,0.941,medium
77,2024-01-20,ID,organic,android,1831862,0.73,low
78,2024-01-14,SG,referral,ios,1736015,0.837,low
79,2024-02-03,SG,organic,web,6057449,0.784,low
80,2024-02-10,MY,ads,android,8556079,0.644,medium
81,2024-02-26,SG,organic,ios,7371056,0.733,high
82,2024-01-27,ID,organic,ios,5948716,1.0,low
83,2024-01-10,ID,organic,android,5527850,0.847,low
84,2024-02-19,SG,referral,android,7613746,1.0,low
85,2024-02-07,VN,organic,android,2904204,0.588,medium
86,2024-02-12,ID,referral,android,2113456,0.693,high
87,2024-01-06,PH,ads,ios,4195455,0.812,low
88,2024-01-19,ID,referral,web,2396446,0.861,medium
89,2024-02-16,VN,ads,ios,3427346,0.732,low
90,2024-02-19,SG,organic,ios,8907703,0.87,medium
91,2024-01-27,ID,organic,android,5322137,0.869,low
92,2024-02-18,PH,organic,ios,5201422,0.542,low
93,2024-02-20,SG,ads,android,7747352,0.863,low
94,2024-01-24,ID,referral,ios,3663021,0.911,low
95,2024-02-23,VN,organic,android,7367193,0.794,low
96,2024-01-18,ID,social,android,5669900,0.474,medium
97,2024-01-15,MY,referral,android,6154560,0.708,medium
98,2024-02-10,MY,organic,android,4343556,0.816,low
99,2024-02-08,PH,referral,ios,9375939,0.62,low
100,2024-01-09,PH,ads,android,9764376,0.888,low
101,2024-02-19,ID,organic,android,2124567,0.859,low
102,2024-01-12,SG,organic,android,2772893,0.77,medium
103,2024-02-18,SG,referral,ios,7737021,0.753,high
104,2024-01-01,MY,ads,ios,5770628,0.779,low
105,2024-02-17,PH,organic,android,7936974,0.749,low
106,2024-02-17,ID,organic,android,3991688,0.557,low
107,2024-02-16,SG,organic,android,6819487,0.685,low
108,2024-02-09,SG,ads,web,2486019,0.761,low
109,2024-01-29,ID,organic,android,9656935,0.963,low
110,2024-02-12,PH,referral,android,7133409,0.854,low
111,2024-01-17,SG,ads,android,6804752,0.971,low
112,2024-02-16,MY,organic,ios,2232797,0.539,low
113,2024-02-03,PH,social,android,9034343,0.697,medium
114,2024-01-28,VN,social,android,3470734,1.0,low
115,2024-01-31,SG,ads,ios,2102724,0.639,high
116,2024-02-04,VN,organic,ios,5386230,0.636,medium
117,2024-01-03,MY,ads,android,9701621,0.709,low
118,2024-01-09,PH,social,android,4813967,1.0,low
119,2024-01-15,SG,organic,ios,1069072,0.649,medium
120,2024-01-07,ID,organic,ios,9195002,0.834,medium
121,2024-01-27,MY,ads,ios,6885853,0.809,low
122,2024-02-10,SG,organic,android,6858736,0.461,medium
123,2024-02-09,ID,ads,web,6012127,0.748,low
124,2024-01-29,ID,referral,web,1624750,0.667,low
125,2024-02-21,ID,organic,android,7296718,0.852,medium
126,2024-02-03,SG,organic,ios,2288893,1.0,low
127,2024-01-05,ID,referral,ios,2868114,0.698,medium
128,2024-02-15,SG,ads,android,6276016,0.698,medium
129,2024-02-04,VN,ads,android,5659785,1.0,low
130,2024-02-08,VN,organic,android,3029369,0.643,low
131,2024-02-03,SG,referral,ios,1596945,0.549,medium
132,2024-02-03,SG,ads,web,2761381,0.957,low
133,2024-01-06,SG,referral,ios,1398367,0.742,low
134,2024-02-03,ID,organic,android,9888005,0.792,high
135,2024-02-17,PH,organic,web,1703943,1.0,low
136,2024-01-19,ID,organic,android,7385331,0.54,high
137,2024-02-06,SG,ads,android,4376629,0.721,medium
138,2024-01-02,SG,ads,android,3722213,0.565,medium
139,2024-01-21,SG,referral,android,1029469,0.8,low
140,2024-01-27,PH,organic,android,1250407,0.667,low
141,2024-02-28,MY,organic,android,9952462,0.574,medium
142,2024-01-13,ID,social,android,8155939,0.86,low
143,2024-01-17,SG,ads,android,3534308,0.752,high
144,2024-01-25,VN,organic,android,6195139,0.562,medium
145,2024-02-29,SG,organic,android,9070050,0.571,medium
146,2024-02-21,PH,ads,android,3690656,0.781,low
147,2024-01-03,PH,social,ios,9653109,0.499,high
148,2024-01-15,ID,social,android,5745935,0.784,low
149,2024-02-19,PH,organic,web,5093288,0.951,low
150,2024-01-04,SG,social,ios,9068514,0.85,low
151,2024-02-21,MY,ads,ios,5113789,0.657,low
152,2024-01-17,SG,social,ios,1571030,0.791,low
153,2024-02-25,ID,referral,android,2333273,0.562,medium
154,2024-01-18,SG,ads,ios,7587917,0.77,low
155,2024-01-27,SG,organic,android,6682433,0.701,low
156,2024-02-09,SG,referral,ios,1444090,0.594,medium
157,2024-01-08,SG,organic,ios,2772621,0.844,low
158,2024-02-03,ID,organic,ios,5684501,0.453,high
159,2024-01-31,ID,organic,ios,4374724,0.572,medium
160,2024-02-17,SG,ads,android,9648101,0.59,medium
161,2024-02-29,VN,ads,web,8194953,0.674,medium
162,2024-02-09,VN,ads,android,3085076,0.945,low
163,2024-01-25,SG,referral,web,7689609,0.863,low
164,2024-01-25,ID,organic,ios,7490971,0.766,low
165,2024-01-26,MY,organic,web,4510063,0.759,low
166,2024-02-18,MY,ads,android,4823753,0.748,medium
167,2024-01-20,ID,ads,android,3131347,0.956,low
168,2024-01-11,MY,organic,android,4411591,0.478,high
169,2024-01-21,SG,ads,ios,2671567,0.866,low
170,2024-01-02,SG,organic,ios,6726713,0.674,low
171,2024-01-07,MY,organic,ios,5517463,0.825,low
172,2024-01-06,MY,organic,android,6485004,0.826,low
173,2024-02-16,PH,organic,android,9661124,0.86,low
174,2024-02-13,SG,referral,web,4304595,0.988,low
175,2024-02-11,SG,ads,ios,2139522,0.544,medium
176,2024-01-28,SG,social,android,4379473,0.901,medium
177,2024-02-13,SG,ads,android,4172772,0.74,medium
178,2024-01-10,SG,ads,ios,5319022,0.681,low
179,2024-02-24,ID,organic,ios,8597119,1.0,low
180,2024-01-31,ID,ads,android,9935561,0.855,low
181,2024-02-26,MY,organic,android,6694890,0.687,medium
182,2024-01-10,ID,referral,ios,8186521,0.894,low
183,2024-01-30,SG,referral,ios,3592889,0.743,high
184,2024-02-11,MY,organic,ios,4296679,0.685,low
185,2024-01-30,SG,social,android,8892840,0.659,medium
186,2024-01-27,PH,organic,android,4268546,0.796,medium
187,2024-01-10,SG,ads,ios,4335958,0.658,medium
188,2024-01-23,ID,referral,android,9070806,0.773,low
189,2024-01-15,PH,ads,web,8214534,0.883,low
190,2024-01-19,ID,ads,ios,8013328,0.767,low
191,2024-02-11,MY,ads,ios,7527013,1.0,medium
192,2024-02-07,MY,organic,ios,6881939,0.752,medium
193,2024-02-06,SG,organic,ios,5953954,0.952,low
194,2024-01-22,MY,organic,android,7427141,0.896,medium
195,2024-02-27,PH,organic,android,1313461,0.979,low
196,2024-01-06,VN,referral,android,1512952,1.0,low
197,2024-01-21,ID,social,ios,8829144,0.486,medium
198,2024-01-08,SG,ads,android,1833653,0.79,low
199,2024-01-21,PH,ads,ios,6847282,0.733,medium
200,2024-02-27,ID,organic,ios,3841577,0.767,low
201,2024-01-22,SG,ads,ios,7717363,0.69,low
202,2024-02-24,SG,organic,web,5253330,0.668,low
203,2024-01-30,SG,organic,android,3725823,0.585,high
204,2024-02-11,ID,referral,android,7398910,0.765,low
205,2024-01-28,SG,ads,android,9824354,0.89,high
206,2024-01-16,SG,organic,ios,8039168,0.676,medium
207,2024-02-15,SG,organic,android,3055185,0.701,low
208,2024-02-28,VN,social,android,8963107,0.645,medium
209,2024-01-16,SG,organic,web,9987733,0.601,medium
210,2024-02-16,SG,referral,android,3438458,0.715,high
211,2024-01-16,ID,referral,ios,6848713,0.801,medium
212,2024-02-13,SG,ads,web,7732018,0.939,medium
213,2024-02-17,VN,organic,android,6601576,0.571,medium
214,2024-01-27,VN,organic,ios,9952169,0.745,medium
215,2024-02-14,ID,ads,ios,3271909,0.927,medium
216,2024-01-17,ID,organic,ios,2873672,0.573,low
217,2024-01-05,ID,organic,android,8975226,0.94,low
218,2024-01-06,SG,referral,android,1627409,0.684,medium
219,2024-01-27,SG,ads,ios,1282657,0.857,low
220,2024-02-24,SG,organic,ios,9068643,0.717,medium
221,2024-01-08,SG,ads,android,8638191,0.819,low
222,2024-01-28,ID,organic,android,2214078,0.991,low
223,2024-02-12,SG,organic,ios,8435316,0.732,medium
224,2024-01-13,SG,organic,ios,7477987,0.899,low
225,2024-02-13,ID,organic,web,9155340,0.791,low
226,2024-01-19,ID,organic,web,4485927,0.632,high
227,2024-02-18,SG,organic,android,7572339,0.728,low
228,2024-02-04,SG,referral,android,4199658,0.719,low
229,2024-02-02,SG,ads,web,6907993,0.538,medium
230,2024-01-11,SG,referral,ios,9465299,0.819,low
231,2024-01-28,PH,organic,web,9464481,0.849,medium
232,2024-02-21,VN,social,android,3292155,0.872,low
233,2024-01-02,ID,ads,android,1606801,0.964,low
234,2024-02-15,ID,organic,android,4668830,0.893,low
235,2024-01-30,MY,ads,ios,1737122,0.66,low
236,2024-02-13,MY,social,android,1141259,0.691,medium
237,2024-02-09,SG,organic,android,9798244,0.876,low
238,2024-01-26,SG,organic,ios,2651963,0.808,medium
239,2024-01-19,ID,referral,android,6206146,0.747,medium
240,2024-02-07,ID,ads,web,4253391,0.619,medium
241,2024-01-09,SG,organic,web,7419017,0.67,low
242,2024-02-05,SG,referral,android,6993420,0.837,low
243,2024-01-06,SG,ads,ios,9202929,0.457,high
244,2024-02-08,SG,social,ios,5538064,0.399,medium
245,2024-02-07,ID,social,ios,3513709,0.854,low
246,2024-01-06,MY,social,android,4145570,0.67,low
247,2024-02-15,ID,referral,android,9084690,0.82,low
248,2024-01-25,SG,ads,web,4287431,0.987,medium
249,2024-02-17,SG,organic,ios,5595884,0.598,high
250,2024-01-03,PH,ads,web,8119110,0.5,low
251,2024-01-11,ID,referral,web,9262341,0.709,low
252,2024-01-30,SG,ads,android,3474863,0.647,low
253,2024-01-12,SG,social,web,6952332,0.746,low
254,2024-01-20,PH,ads,android,9027249,0.831,medium
255,2024-02-09,PH,ads,ios,3420434,0.799,low
256,2024-01-09,PH,ads,ios,9495719,0.757,high
257,2024-02-10,MY,referral,ios,4545618,0.909,low
258,2024-01-07,ID,ads,ios,2994251,0.851,low
259,2024-01-11,ID,ads,android,8166928,0.723,medium
260,2024-02-05,SG,ads,ios,4399844,0.845,low
261,2024-02-17,MY,organic,ios,4737165,0.518,medium
262,2024-01-11,ID,social,ios,7601137,0.91,low
263,2024-01-18,SG,organic,android,2993944,0.753,low
264,2024-02-25,PH,ads,web,3417768,0.57,medium
265,2024-02-29,ID,ads,android,7440559,0.688,low
266,2024-02-04,SG,ads,android,8434127,0.906,low
267,2024-01-27,SG,organic,web,2621577,0.635,high
268,2024-01-21,PH,ads,android,9764961,0.812,low
269,2024-02-06,VN,ads,android,1449213,0.882,low
270,2024-02-05,ID,ads,android,6682259,0.754,medium
271,2024-01-18,VN,organic,web,4775719,0.62,medium
272,2024-01-02,PH,referral,ios,2451690,0.74,medium
273,2024-01-10,PH,ads,android,8042468,0.539,medium
274,2024-02-27,PH,organic,android,1017414,0.677,low
275,2024-01-26,ID,organic,ios,3521562,0.584,high
276,2024-01-29,PH,social,android,4688948,0.743,low
277,2024-01-29,ID,ads,android,7231800,0.56,medium
278,2024-02-16,MY,referral,web,3041993,0.763,low
279,2024-01-04,SG,social,web,1475741,0.92,low
280,2024-01-05,MY,social,android,7965270,0.929,low
281,2024-01-17,VN,referral,android,1741963,0.563,medium
282,2024-01-30,SG,ads,web,5228238,0.65,medium
283,2024-02-10,VN,social,ios,7010569,0.878,low
284,2024-01-30,ID,referral,ios,6690064,0.856,low
285,2024-01-27,SG,ads,android,1945247,0.658,high
286,2024-02-26,SG,ads,android,6456348,0.677,low
287,2024-01-10,PH,social,android,4916853,0.762,medium
288,2024-02-04,ID,ads,android,1326623,0.475,high
289,2024-02-02,SG,referral,ios,3124449,0.829,low
290,2024-01-29,MY,organic,android,7371957,0.912,low
291,2024-02-18,SG,referral,android,2906669,0.692,medium
292,2024-01-17,ID,ads,web,8431390,0.537,medium
293,2024-02-27,PH,referral,ios,2241359,0.962,low
294,2024-01-20,MY,organic,android,5241037,0.783,medium
295,2024-02-02,PH,social,android,5328386,0.856,low
296,2024-02-01,ID,ads,android,6238455,0.552,medium
297,2024-02-20,VN,ads,ios,4424402,0.552,medium
298,2024-01-27,SG,ads,ios,2294037,0.812,low
299,2024-01-18,SG,ads,ios,7546502,0.904,low
300,2024-01-02,SG,social,android,6928459,0.581,medium
301,2024-01-22,ID,ads,android,6906558,0.735,medium
302,2024-02-19,MY,ads,android,9456653,0.512,high
303,2024-01-01,MY,referral,android,8975425,0.645,medium
304,2024-02-23,SG,ads,ios,7407599,0.711,medium
305,2024-02-02,SG,ads,ios,4910400,0.823,low
306,2024-01-09,MY,organic,android,1130250,0.434,medium
307,2024-01-19,VN,organic,android,2955588,0.948,low
308,2024-02-03,SG,referral,android,3784800,0.724,medium
309,2024-01-19,SG,organic,android,3666278,0.944,medium
310,2024-01-07,SG,ads,web,9585364,0.855,low
311,2024-02-09,ID,organic,web,1570603,0.878,low
312,2024-02-10,SG,social,android,7014175,1.0,low
313,2024-01-08,SG,organic,ios,5361887,0.633,medium
314,2024-01-17,MY,referral,ios,3922235,0.77,low
315,2024-01-15,SG,organic,android,7607840,0.601,medium
316,2024-02-09,ID,organic,android,6404064,0.735,medium
317,2024-02-13,SG,referral,ios,8588937,0.858,medium
318,2024-02-13,VN,ads,ios,2469639,0.919,low
319,2024-02-26,ID,organic,web,3438786,0.693,medium
320,2024-02-16,SG,ads,ios,9321766,0.569,medium
321,2024-01-20,SG,referral,android,8837254,0.761,low
322,2024-01-07,MY,organic,web,4509785,0.622,low
323,2024-02-06,PH,organic,android,4643440,0.663,low
324,2024-02-24,SG,ads,ios,2728828,0.851,medium
325,2024-02-28,SG,social,android,1717914,0.823,low
326,2024-01-14,SG,organic,android,1674246,0.875,low
327,2024-01-15,MY,ads,ios,1056710,0.699,medium
328,2024-01-03,VN,ads,android,8619767,0.901,medium
329,2024-01-09,ID,organic,ios,3992111,0.752,low
330,2024-02-03,SG,ads,android,6805585,0.707,low
331,2024-02-02,PH,referral,web,6791916,0.585,low
332,2024-01-23,MY,organic,android,7132912,0.437,medium
333,2024-01-19,SG,ads,web,6800427,0.515,high
334,2024-02-19,SG,organic,android,6926903,0.782,medium
335,2024-01-28,ID,ads,web,4463364,0.614,medium
336,2024-02-18,PH,ads,android,3827151,0.503,high
337,2024-02-27,MY,organic,ios,4827229,0.687,medium
338,2024-01-20,MY,ads,web,8132715,0.792,low
339,2024-01-13,PH,social,web,5869211,0.812,medium
340,2024-02-27,SG,organic,android,8559093,0.746,medium
341,2024-02-08,SG,ads,android,3971086,0.741,low
342,2024-01-18,SG,social,ios,8336780,0.669,low
343,2024-02-07,PH,organic,ios,6790873,0.845,low
344,2024-01-31,ID,ads,ios,6539465,0.723,medium
345,2024-02-24,SG,organic,android,1958304,0.739,low
346,2024-01-16,SG,social,ios,2732004,0.906,low
347,2024-02-29,MY,organic,ios,6596572,0.869,low
348,2024-02-26,MY,organic,web,8722841,0.722,low
349,2024-01-11,MY,organic,android,5353049,0.701,low
350,2024-01-10,SG,ads,android,1761446,0.7,medium
351,2024-02-01,VN,ads,ios,8829817,0.447,medium
352,2024-01-03,PH,organic,ios,8220997,0.915,low
353,2024-01-18,MY,social,android,8295613,0.647,medium
354,2024-01-27,MY,referral,ios,4767865,0.878,low
355,2024-02-28,VN,ads,android,6844528,0.756,medium
356,2024-02-29,VN,organic,web,1883290,0.959,low
357,2024-01-10,ID,ads,ios,1238474,0.829,low
358,2024-02-23,ID,organic,android,1552605,0.887,low
359,2024-01-06,ID,organic,android,4831786,0.661,low
360,2024-02-14,PH,ads,ios,9896364,0.557,high
361,2024-02-20,MY,referral,android,1490055,0.772,low
362,2024-02-23,SG,organic,android,6121326,0.462,low
363,2024-01-14,SG,organic,ios,7804801,0.68,high
364,2024-02-23,VN,social,android,4999546,0.572,high
365,2024-01-07,PH,organic,android,1469644,0.624,low
366,2024-02-01,VN,social,android,9328833,0.839,low
367,2024-01-29,ID,referral,web,9089970,0.829,low
368,2024-01-19,PH,organic,android,5167293,0.726,medium
369,2024-01-02,PH,ads,android,8568802,0.798,low
370,2024-02-16,SG,ads,web,8622943,0.669,low
371,2024-01-21,SG,social,android,6862335,1.0,low
372,2024-02-09,VN,ads,ios,8683191,0.795,medium
373,2024-01-25,SG,social,ios,7294925,0.661,low
374,2024-01-23,ID,organic,ios,7750576,0.881,high
375,2024-02-23,MY,referral,ios,1994650,0.936,low
376,2024-01-06,MY,organic,android,1856035,0.634,medium
377,2024-02-14,SG,social,ios,2415889,0.537,medium
378,2024-02-14,MY,ads,web,9591837,0.567,low
379,2024-01-23,SG,organic,android,4708892,0.65,low
380,2024-01-16,PH,social,ios,6645794,0.742,low
381,2024-01-01,SG,ads,web,6952871,0.506,medium
382,2024-02-26,MY,ads,android,4676512,0.687,medium
383,2024-02-26,PH,social,ios,7385814,0.719,medium
384,2024-01-15,SG,referral,ios,7897973,0.799,medium
385,2024-01-02,SG,ads,android,9593162,0.842,medium
386,2024-01-08,PH,organic,android,1665382,0.81,high
387,2024-01-05,SG,ads,android,4224820,1.0,low
388,2024-02-19,SG,ads,android,2606357,0.914,low
389,2024-02-23,ID,organic,android,5918034,0.783,low
390,2024-01-10,VN,ads,web,7098573,0.604,high
391,2024-02-14,ID,organic,android,2617903,0.649,low
392,2024-01-11,ID,ads,android,6666023,0.536,medium
393,2024-01-23,VN,social,ios,1457304,0.773,low
394,2024-02-05,ID,organic,android,5719565,0.8,low
395,2024-02-13,ID,ads,android,9774416,0.884,low
396,2024-02-22,ID,social,android,7071422,0.79,medium
397,2024-01-03,SG,referral,android,8040208,0.908,low
398,2024-01-12,SG,ads,android,9549081,0.911,low
399,2024-01-17,MY,social,android,5683286,0.596,medium
400,2024-01-19,SG,ads,android,2172720,0.672,low
401,2024-02-29,MY,ads,android,6258556,0.748,low
402,2024-02-16,SG,organic,web,4085560,0.644,low
403,2024-01-20,ID,ads,android,6004250,0.714,low
404,2024-02-28,SG,organic,android,3641040,0.795,low
405,2024-01-30,ID,organic,android,5746465,0.732,low
406,2024-01-31,MY,social,android,9416992,0.75,low
407,2024-01-27,ID,ads,android,7741720,0.609,low
408,2024-01-09,SG,ads,web,2684893,0.826,low
409,2024-02-26,SG,organic,android,8832998,0.815,medium
410,2024-01-01,PH,ads,web,4310123,0.636,low
411,2024-01-11,SG,social,android,7386414,0.556,low
412,2024-01-14,PH,referral,web,9152669,0.935,low
413,2024-01-17,SG,referral,web,9814630,1.0,low
414,2024-01-08,SG,referral,android,7030357,0.785,low
415,2024-01-02,MY,ads,android,7647545,0.696,low
416,2024-02-10,ID,ads,android,1280446,0.907,low
417,2024-02-28,SG,organic,android,9554038,0.821,low
418,2024-01-08,VN,referral,android,9641920,0.718,medium
419,2024-01-18,SG,organic,android,2933722,0.895,low
420,2024-01-31,ID,ads,android,1541264,0.629,medium
421,2024-02-25,ID,organic,ios,9515949,0.646,low
422,2024-02-11,ID,ads,android,5697070,0.805,low
423,2024-02-15,PH,organic,android,2594996,0.767,low
424,2024-02-04,SG,ads,android,3179179,0.846,low
425,2024-01-26,VN,organic,ios,9476641,0.929,low
426,2024-01-12,MY,organic,ios,6686801,0.517,medium
427,2024-02-21,VN,social,android,6503310,0.756,low
428,2024-02-18,PH,referral,android,3552608,1.0,low
429,2024-01-02,VN,ads,ios,7862612,0.661,medium
430,2024-02-12,MY,referral,ios,8358181,0.643,high
431,2024-01-06,ID,referral,android,1368928,0.414,high
432,2024-02-14,ID,organic,ios,6086695,0.765,medium
433,2024-02-19,MY,social,ios,7281987,0.837,low
434,2024-01-08,ID,referral,android,3816134,0.837,low
435,2024-01-27,MY,ads,android,7286635,0.594,high
436,2024-01-08,SG,organic,web,8790557,0.749,high
437,2024-02-04,PH,organic,ios,9067806,0.783,low
438,2024-02-25,SG,organic,ios,7995119,0.758,medium
439,2024-01-05,VN,social,ios,7362964,0.586,medium
440,2024-01-24,SG,organic,android,5438244,0.762,medium
441,2024-02-28,SG,organic,ios,1863256,0.628,low
442,2024-01-19,PH,social,ios,5421001,0.469,medium
443,2024-01-08,PH,referral,android,8059138,0.852,low
444,2024-01-30,MY,ads,android,5210909,0.771,medium
445,2024-01-31,VN,social,android,9348222,0.839,low
446,2024-02-09,SG,organic,android,5860643,0.67,low
447,2024-01-19,PH,organic,android,1063351,0.844,low
448,2024-02-27,ID,organic,android,8723493,0.903,low
449,2024-02-01,ID,social,ios,4994503,1.0,low
450,2024-01-18,ID,ads,android,1663934,0.872,low
451,2024-02-27,SG,organic,ios,7192173,0.808,low
452,2024-02-25,ID,organic,ios,5451384,0.543,medium
453,2024-01-30,MY,social,android,8059291,0.734,medium
454,2024-01-02,SG,ads,ios,7751144,0.537,medium
455,2024-02-05,VN,ads,ios,9534226,0.627,low
456,2024-02-03,ID,social,android,9676517,1.0,low
457,2024-01-09,SG,referral,android,7790205,0.597,medium
458,2024-02-08,MY,organic,ios,2378389,0.399,medium
459,2024-02-20,SG,organic,android,2009282,0.872,low
460,2024-01-07,SG,organic,web,1391238,0.649,low
461,2024-02-13,MY,organic,ios,5132880,0.865,low
462,2024-01-09,SG,organic,android,8245894,0.574,medium
463,2024-02-14,SG,referral,ios,9121076,0.686,low
464,2024-01-26,MY,ads,web,9733701,0.929,medium
465,2024-01-01,SG,referral,ios,2139786,0.552,medium
466,2024-02-27,PH,ads,ios,7432201,0.725,low
467,2024-01-10,PH,social,web,1744410,0.794,low
468,2024-02-05,SG,ads,android,5986444,0.642,low
469,2024-01-11,ID,ads,ios,4146055,0.786,low
470,2024-02-25,SG,ads,android,3100419,0.752,medium
471,2024-02-14,MY,ads,web,7736285,0.83,low
472,2024-02-18,SG,organic,android,9625248,1.0,low
473,2024-01-26,VN,organic,ios,4121925,1.0,low
474,2024-01-29,SG,social,ios,7500446,0.819,low
475,2024-02-08,MY,organic,web,7885772,0.733,medium
476,2024-02-17,SG,organic,ios,7246967,0.816,low
477,2024-02-20,SG,organic,ios,3988210,0.715,low
478,2024-01-02,ID,referral,ios,8937627,0.512,high
479,2024-02-09,ID,ads,ios,7357489,0.743,low
480,2024-01-07,VN,organic,android,8880914,0.912,high
481,2024-01-18,SG,ads,android,3216104,0.53,high
482,2024-02-19,SG,ads,ios,1726129,0.602,medium
483,2024-01-16,ID,organic,ios,8682544,0.663,low
484,2024-02-17,ID,ads,ios,2789398,0.806,low
485,2024-01-28,PH,ads,ios,3004314,1.0,low
486,2024-01-14,VN,referral,ios,2747816,0.629,low
487,2024-01-21,PH,ads,android,9192623,0.764,low
488,2024-02-01,SG,organic,ios,8869609,0.751,low
489,2024-02-15,ID,organic,ios,5802845,0.705,low
490,2024-02-06,MY,social,android,7076525,0.743,high
491,2024-02-25,SG,referral,android,6827731,0.68,medium
492,2024-02-22,MY,ads,android,8849479,1.0,low
493,2024-02-15,SG,social,web,4113891,0.862,low
494,2024-02-06,SG,organic,ios,8818536,0.682,high
495,2024-01-18,PH,ads,ios,4823625,0.928,low
496,2024-01-25,SG,organic,ios,5583110,0.789,medium
497,2024-01-08,VN,referral,ios,3700208,0.759,low
498,2024-01-23,SG,organic,web,7782309,0.723,medium
499,2024-02-25,SG,organic,android,9463190,0.712,medium
500,2024-01-26,SG,ads,android,9844866,0.567,medium
501,2024-01-07,SG,organic,web,4708492,0.499,medium
502,2024-02-09,ID,social,android,1773355,0.806,medium
503,2024-02-27,SG,organic,android,8523073,0.721,high
504,2024-02-22,MY,social,web,3985871,0.882,low
505,2024-01-17,PH,ads,android,2398686,0.617,medium
